OS01G0104100,OS01G0124401,OS01G0159800,OS01G0205700,OS01G0307500,OS01G0343300,OS01G0506100,OS01G0534900,OS01G0571300,OS01G0575200,OS01G0612600,OS01G0664100,OS01G0699100,OS01G0733200,Label
0,0,3.9069,0,0,6.2955,0,2.3219,0,2.3219,6.4874,3.9069,4.3923,0,0
0,0,2.3219,3.3219,0,5.9572,0,3.3219,0,0,7.0011,4.2479,5.3399,2.3219,0
0,0,0,0,0,6.5755,0,3,0,3.3219,6.7614,3.8074,4.5546,0,0
2,2,0,2.8074,0,6.071,0,4.1293,0,2.8074,6.5057,5.3338,4.8074,0,0
0,0,0,3.585,0,6.8355,0,0,0,2.3219,6.6221,3.585,0,0,0
0,0,0,2.3219,0,7.1431,0,2.3219,0,2.3219,6.3747,4.1699,3.7004,0,0
0,2,2,2,0,6.9153,0,3.9069,0,4.1293,7.1305,5.0224,3.9069,0,0
2.3219,0,0,3.1699,0,6.5507,3.1699,2.3219,0,0,6.439,5.0444,3.7004,0,0
0,0,0,3.585,0,6.7858,4.1699,3.585,0,0,6.8946,4.4263,5.4919,0,0
0,0,0,3.4594,0,3.4594,3.4594,0,0,0,6.5204,5.4263,2,0,0
0,0,2.3219,0,0,5.9812,2.3219,5.3923,0,0,6.8696,3.8074,0,0,0
0,0,0,4.8826,0,6.7242,0,3.1699,0,3.1699,6.2405,5.3038,0,0,0
0,0,0,0,0,5.851,2.3219,3.7004,0,2.3219,6.6682,5.6551,3.7004,0,0
0,0,0,3.1699,2.3219,6.1815,0,3.1699,0,0,6.4806,3.7004,0,0,0
0,0,0,3.585,0,6.8495,2.8074,5.0444,0,3.585,6.6286,4.585,4.0875,0,0
0,0,0,2.3219,0,6.4219,4.5236,2.3219,0,0,6.7137,4.3219,3.585,0,0
0,0,3.585,0,0,6.519,0,2.8074,0,0,6.898,4.5236,5.2095,0,0
2.585,0,0,3.3219,0,6.8872,0,4.4594,2.585,0,6.379,4.4594,4.4594,0,0
0,4.6439,2.3219,4.2479,0,7.1028,3.3219,3.3219,0,2.3219,6.9893,3.7004,3.3219,2.3219,0
0,7.7328,2,3.7004,2,7.1358,2,2,0,0,6.1609,4.9307,4.2479,0,0
0,0,2.8074,2.8074,0,6.0461,0,0,0,2.8074,6.5537,3.585,4.4594,0,0
0,4.1699,0,4.1699,2.3219,6.3189,0,0,0,3.585,6.6219,4.7004,5.8202,0,0
0,0,0,0,0,6.0259,0,0,0,4.6439,6.2813,3.7004,4.6439,0,0
0,0,0,2.585,0,6.6642,2.585,2.585,0,0,6.4673,4.7814,4.5236,0,0
0,0,0,3.585,0,4.4594,3,2.3219,0,4,6.5273,5.2854,3,0,0
0,0,0,2.585,0,6.5365,2.585,2.585,0,0,6.9134,4.1699,2.585,0,0
0,0,0,4.4594,0,6.3268,0,2.585,0,0,6.5399,3.9069,0,0,0
0,0,0,5.2095,0,6.2055,2.8074,0,0,0,6.9578,2.8074,4,0,0
0,0,4.3219,4.8074,0,5.0661,0,2.8074,0,2.8074,6.6339,3.8074,2.8074,0,0
0,0,0,3.8074,0,6.0426,0,3.8074,0,0,5.7309,3.8074,5.0832,0,0
